2026-01-21 19:57:30 | INFO | fixtures.auth_fixtures | Auth disabled (--use-auth not provided). Running anonymous session.
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | --- Context setup started [Worker: main] ---
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | Capture HAR    : False
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | Capture Trace  : False
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | Capture Video  : False
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | Auth Enabled   : False
2026-01-21 19:57:30 | INFO | fixtures.context_fixtures | No storage_state — running anonymous session
2026-01-21 19:57:57 | INFO | fixtures.browser_fixtures | Closing browser session...
2026-01-21 20:04:24 | INFO | conftest | ========== Initiating Automation Setup ==========
2026-01-21 20:04:25 | INFO | fixtures.auth_fixtures | Auth disabled (--use-auth not provided). Running anonymous session.
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | ========== Browser Session Setup ==========
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | Browser type       : chromium
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | Headless mode      : False
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | SlowMo             : 50
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | Channel            : chrome
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | Using CDP          : False
2026-01-21 20:04:25 | INFO | fixtures.browser_fixtures | Launching new browser instance...
2026-01-21 20:04:26 | INFO | fixtures.browser_fixtures | New browser launched successfully ✅
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | --- Context setup started [Worker: main] ---
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Capture HAR    : False
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Capture Trace  : False
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Capture Video  : False
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Auth Enabled   : False
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | No storage_state — running anonymous session
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Browser context created successfully
2026-01-21 20:04:26 | INFO | fixtures.context_fixtures | Cookie consent injected
2026-01-21 20:04:26 | INFO | fixtures.page_fixtures | Creating new page...
2026-01-21 20:04:27 | INFO | fixtures.page_fixtures | New page created successfully
2026-01-21 20:04:27 | INFO | fixtures.page_fixtures | Navigating to base URL: https://www.mercari.com/
2026-01-21 20:04:46 | INFO | test_mercari_home | Launching Home page
2026-01-21 20:04:46 | INFO | HomePage | Wait for Visible → #truste-consent-buttons
2026-01-21 20:04:46 | INFO | HomePage | Click → #truste-consent-button
2026-01-21 20:04:47 | INFO | HomePage | Hover → h6[data-testid='CategoryNavL0Item']:has-text('Electronics')
2026-01-21 20:04:57 | INFO | HomePage | Click → role=link[name=/Electronics/]
2026-01-21 20:05:07 | INFO | fixtures.page_fixtures | Test PASSED: test_verify_home_page
2026-01-21 20:05:07 | INFO | fixtures.page_fixtures | Page closed successfully
2026-01-21 20:05:07 | INFO | fixtures.context_fixtures | Browser context closed [Worker: main]
2026-01-21 20:05:07 | INFO | fixtures.context_fixtures | --- Context teardown completed [Worker: main] ---
2026-01-21 20:05:07 | INFO | fixtures.browser_fixtures | Closing browser session...
2026-01-21 20:05:07 | INFO | fixtures.browser_fixtures | Browser closed successfully 🧹
2026-01-21 20:05:07 | INFO | fixtures.browser_fixtures | ========== Browser Session Finished ==========
2026-01-22 12:04:45 | INFO | conftest | ========== Initiating Automation Setup ==========
2026-01-22 12:04:45 | INFO | fixtures.auth_fixtures | Auth disabled (--use-auth not provided). Running anonymous session.
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | ========== Browser Session Setup ==========
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | Browser type       : chromium
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | Headless mode      : False
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | SlowMo             : 50
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | Channel            : chrome
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | Using CDP          : False
2026-01-22 12:04:45 | INFO | fixtures.browser_fixtures | Launching new browser instance...
2026-01-22 12:04:52 | INFO | fixtures.browser_fixtures | New browser launched successfully ✅
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | --- Context setup started [Worker: main] ---
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Capture HAR    : False
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Capture Trace  : False
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Capture Video  : False
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Auth Enabled   : False
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | No storage_state — running anonymous session
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Browser context created successfully
2026-01-22 12:04:52 | INFO | fixtures.context_fixtures | Cookie consent injected
2026-01-22 12:04:52 | INFO | fixtures.page_fixtures | Creating new page...
2026-01-22 12:04:53 | INFO | fixtures.page_fixtures | New page created successfully
2026-01-22 12:04:53 | INFO | fixtures.page_fixtures | Navigating to base URL: https://pharmeasy.in/online-medicine-order?src=header
2026-01-22 12:04:54 | ERROR | fixtures.page_fixtures | Test FAILED: test_verify_home_page
2026-01-22 12:04:54 | INFO | fixtures.page_fixtures | Capturing screenshot for failed test...
2026-01-22 12:05:03 | INFO | fixtures.page_fixtures | Failure screenshot attached to Allure report
2026-01-22 12:05:03 | INFO | fixtures.page_fixtures | Page closed successfully
2026-01-22 12:05:03 | INFO | fixtures.context_fixtures | Browser context closed [Worker: main]
2026-01-22 12:05:03 | INFO | fixtures.context_fixtures | --- Context teardown completed [Worker: main] ---
2026-01-22 12:05:03 | INFO | fixtures.browser_fixtures | Closing browser session...
2026-01-22 12:05:03 | INFO | fixtures.browser_fixtures | Browser closed successfully 🧹
2026-01-22 12:05:03 | INFO | fixtures.browser_fixtures | ========== Browser Session Finished ==========
2026-01-22 12:06:29 | INFO | conftest | ========== Initiating Automation Setup ==========
2026-01-22 12:06:29 | INFO | fixtures.auth_fixtures | Auth disabled (--use-auth not provided). Running anonymous session.
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | ========== Browser Session Setup ==========
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | Browser type       : chromium
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | Headless mode      : False
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | SlowMo             : 50
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | Channel            : chrome
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | Using CDP          : False
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | Launching new browser instance...
2026-01-22 12:06:29 | INFO | fixtures.browser_fixtures | New browser launched successfully ✅
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | --- Context setup started [Worker: main] ---
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Capture HAR    : False
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Capture Trace  : False
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Capture Video  : False
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Auth Enabled   : False
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | No storage_state — running anonymous session
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Browser context created successfully
2026-01-22 12:06:30 | INFO | fixtures.context_fixtures | Cookie consent injected
2026-01-22 12:06:30 | INFO | fixtures.page_fixtures | Creating new page...
2026-01-22 12:06:31 | INFO | fixtures.page_fixtures | New page created successfully
2026-01-22 12:06:31 | INFO | fixtures.page_fixtures | Navigating to base URL: https://pharmeasy.in/online-medicine-order?src=header
2026-01-22 12:06:38 | INFO | HomePage | [ButtonFetcher] Fetching buttons using mode: all
2026-01-22 12:06:38 | INFO | HomePage | [ButtonFetcher] Found 16 total clickable buttons
2026-01-22 12:06:38 | INFO | test_home | Count of buttons: 16
2026-01-22 12:06:38 | INFO | test_home | Button 0: 
2026-01-22 12:06:38 | INFO | test_home | Button 1: 
2026-01-22 12:06:38 | INFO | test_home | Button 2: Search for Medicines...
Search
2026-01-22 12:06:38 | INFO | test_home | Button 3: Install App 
2026-01-22 12:06:38 | INFO | test_home | Button 4: CODE: CURE25P
2026-01-22 12:06:38 | INFO | test_home | Button 5: 
2026-01-22 12:06:38 | INFO | test_home | Button 6: ✅ Is buying medicines online safe?
2026-01-22 12:06:38 | INFO | test_home | Button 7: ✅ Why choose us for your medicine home delivery?
2026-01-22 12:06:38 | INFO | test_home | Button 8: ✅ How do I order medicines from PharmEasy?
2026-01-22 12:06:38 | INFO | test_home | Button 9: ✅ When will PharmEasy deliver my medicines?
2026-01-22 12:06:38 | INFO | test_home | Button 10: ✅ Do I get discounts/cashback while ordering medicines online with PharmEasy?
2026-01-22 12:06:38 | INFO | test_home | Button 11: ✅ If a medicine that I want to order is currently unavailable then what should I do?
2026-01-22 12:06:38 | INFO | test_home | Button 12: ✅ When will I receive my order?
2026-01-22 12:06:38 | INFO | test_home | Button 13: ✅ What is the shelf life of medicines being provided?
2026-01-22 12:06:38 | INFO | test_home | Button 14: ✅ How can I modify my order?
2026-01-22 12:06:38 | INFO | test_home | Button 15: ✅ How do I cancel my order?
2026-01-22 12:06:38 | INFO | fixtures.page_fixtures | Test PASSED: test_verify_home_page
2026-01-22 12:06:38 | INFO | fixtures.page_fixtures | Page closed successfully
2026-01-22 12:06:38 | INFO | fixtures.context_fixtures | Browser context closed [Worker: main]
2026-01-22 12:06:38 | INFO | fixtures.context_fixtures | --- Context teardown completed [Worker: main] ---
2026-01-22 12:06:38 | INFO | fixtures.browser_fixtures | Closing browser session...
